window1	window2	NPMI.x	NPMI.y
chr1:3360000-3390000	chr1:7620000-7650000	0.2369742264363779	0.0366912566832394
chr1:3390000-3420000	chr1:3480000-3510000	0.6176804484397681	0.4369662667264338
chr1:3390000-3420000	chr1:7800000-7830000	0.2250303591175152	-0.0082881510668749
chr1:3420000-3450000	chr1:7530000-7560000	0.2052120696327007	0.032651306517013
chr1:3420000-3450000	chr1:7800000-7830000	0.2381293881647835	0.0171339324455224
chr1:3450000-3480000	chr1:7800000-7830000	0.2095980977596848	0.0348334949063561
chr1:3480000-3510000	chr1:3660000-3690000	0.5664264882745965	0.3882340126289323
chr1:3630000-3660000	chr1:3660000-3690000	0.6978410001711688	0.5472606886718014
chr1:3660000-3690000	chr1:7350000-7380000	0.2275386267996054	0.0478811240501776
chr1:3660000-3690000	chr1:7800000-7830000	0.2406462661825965	0.0537789921918843
chr1:7680000-7710000	chr1:7770000-7800000	0.6272971990252703	0.4681929021352323
chr1:7710000-7740000	chr1:7770000-7800000	0.687497753253111	0.5022336738932688
chr1:7740000-7770000	chr1:7770000-7800000	0.7440927901706645	0.6148746010303987
chr1:7800000-7830000	chr1:10350000-10380000	0.3452194584567117	0.1263823317534059
chr1:7800000-7830000	chr1:10380000-10410000	0.2894088017671455	0.0993263501118573
chr1:11250000-11280000	chr1:11280000-11310000	0.6633833041584737	0.5357460152758675
chr1:15180000-15210000	chr1:17010000-17040000	0.328478026748295	0.1242410266729709
chr1:15210000-15240000	chr1:17160000-17190000	0.2985024557680804	0.0763279716233166
chr1:15210000-15240000	chr1:19500000-19530000	0.2889621612187503	0.1057444694087003
chr1:15270000-15300000	chr1:17490000-17520000	0.385074001628262	0.208176445325229
chr1:15330000-15360000	chr1:19470000-19500000	0.2409688214078479	0.0612679310316282
chr1:15330000-15360000	chr1:19530000-19560000	0.2175695753353336	0.0471193243206809
chr1:15330000-15360000	chr1:19650000-19680000	0.2207586554644948	0.0421597240723008
chr1:15330000-15360000	chr1:19680000-19710000	0.2059078115923627	0.0060271718515615
